"AUTOR","EDITORIAL","AÑO","OBSERVAC","TÍTULO","Id"
"Ramón de Garciasol","Cantalapiedra","1956","","Del amor de cada día","112"
"Concha Zardoya","Guadarrama","1961","","Poesía española contemporánea","119"
"José Mª Alonso Gamo","Cultura Hisp.","1966","orig. y fotoc.","Santayana Poesía y Poética","123"
"Miguel Hernández","Aguilar","1952","","Obra escogida Poesía Teatro","132"
"Juan Gil Albert","Plaza Janés","1982","","Antología Poética 1936-1976","141"
"Varios C. Rguez., Valente...","Taurus","1963","","Poesía Última","150"
"José Bergamín","Cruz del Sur","1962","","Rimas y sonetos rezagados","171"
"Juan Larrea","Barral","1970","","Versión celeste (francés - español)","207"
"Stephane Mallarme","Mediodía","1967","","Obra poética","249"
"Juan A. G. Larraya","José Janés","1953","","El libro de los muertos","263"
"María Romero","Zig-Zag","1957","3ª ed.","Poesía Universal (Grandes Poemas)","270"
"P. Martínez Montavez","Escelicer, S. A.","1958","","Poesía árabe contemporánea","278"
"Alexander Kislov","AHR","1957","","Safo (amor y poesía)","291"
"Cátulo","Lumen","1975","","Poesías","327"
"Carlos Baudelaire","Eds. Modernas","","","Las flores del mal","335"
"Philippe Jaccottet","Monte Avila","1974","","Rilke por sí mismo","349"
"Vicente Aleixandre","Ant. Hispánica","1956","","Mis mejores poemas","135"
"Francisco Pino","Sever Cuesta","1965","Dedicado","Más cerca  Numerado","144"
"Selección de C. G. Holzcan","Globo Rojo","1967","","Antología de la Poesía Erótica","154"
"José Bergamín","Cruz del Sur","1963","","Duendecitos y coplas","172"
"Vicente Aleixandre","El Mundo","1998","","Noche cerrada","210"
"San Juan de la Cruz","El Sol","1991","","Poesías","228"
"Ramón Díaz","Aguilar","1970","","Antología de poesía hebrea moderna","273"
"Pablo Neruda","Losada, S. A.","1954","5ª ed.","20 Poemas de amor y una canción desesperada","297"
"Fernando Pessoa","Millenium","1999","","Odas de Ricardo Reis","315"
"William Blake","Assandri","1957","","Poemas y profecías","325"
"Fernando Maristany","Cervantes","","","Antología Gral. de poetas líricos franceses","328"
"Pedro María Ufano","Lux","1950","","Desengaño en el amor","34"
"Luis Cernuda","J. Mortiz","1962","","Desolación de la quimera","90"
"Clásicos Ebro","Ebro, S. A.","1956","4ª ed. Ilust.","Poesía Romántica Antología T. I y II","164"
"Martin Heidegger","Anthropos","1989","","Hölderlin y la esencia de la poesía","353"
"Francisco A. de Icaza","Sáez Hnos.","","","Nietzsche, poeta (Interpretaciones líricas)","381"
"Gunnar Ekelof","Alianza","1982","","Diwán Una trilogía","382"
"León Felipe","Losada, S. A.","1963","C. Dorado","Obras completas","307"
"Octavio paz","Seix Barral","1979","","Poemas 1935-1975","308"
"Carlos Obligado","Espasa  Calpe","1944","3ª ed.","Los poemas de Edgar Poe","20"
"Luis Rosales","Soc. Est. y Publ.","1960","","Cervantes y la libertad II","196"
"Alfonso Daudet","B. M. Sopena","1951","3ª ed.","Safo","292"
"Luis Rosales","Soc. Est. y Publ.","1959","","Cervantes y la libertad I","195"
"Hans Egon Holthusen","La mandrágora","1960","","Rainer María Rilke","348"
"Américo Castro","Alfaguara","1966","","Cervantes y los casticismos españoles","197"
"William ShaKespeare","Anagrama","1974","Bilingüe","Sonetos de amor Trad. A. G. Calvo","309"
"Alvaro Melián Lafinur","Columba","1954","","El romanticismo literario","201"
"Jhon Donne","Barral","1978","","Poesía erótica","310"
"Edmund Wilson","Cupsa","1977","","El Castillo de Axel","311"
"Albert Béguin","F. C. E.","1986","","Creación y destino I Ensayos de crítica literaria","361"
"William Blake","Univ. México","1961","","Primeros libros poéticos","368"
"V.V. A.A.","La cañada gris","1962","","Homenaje a Luis cernuda","198"
"William Blake","SWAN","1984","Bilingüe","El libro de Urizen","369"
"T. S. Elliot","SWAN","1982","Bilingüe","La tierra baldía","370"
"Ezra Pound","SWAN","1982","","Escrito en Rapallo","371"
"Francisco Mira","Fama","","2 ejemplares","Poesías FRAMILL Azul en el alma (2 ej.)","5"
"P. Jesús Tomé C. M. F.","Punta Europa","1959","","Senda del hombre","14"
"Enrique Gómez Martínez","Espasa Calpe","1944","3ª ed.","Antología poética","15"
"Miguel de Unamuno","Espasa Calpe","1959","4ª ed.","Antología poética","27"
"Paisajes 2 Revista","G. Lizarn, S.L.","1985","Nº 99","Ezra Pound","373"
"J. Jiménez Barberi","Ayamonte","1955","","Jardín Interior","3"
"Mª Dolores Arroyo","Osa Menor","1951","","Voz en el silencio (Finalista Juan B. 50)","4"
"Vicente Gómez Bravo, S. I.","Razón y Fe","1958","10ª ed.","Lyra hispana","148"
"Miguel Hernández","Espasa Calpe","1966","4ª ed.","El rayo que no cesa","29"
"Francisco Sanz","Junta Cª y León","1986","","Geografía física","221"
"Angela Figuera Aymerich","CVS","1973","Disco","Antología total (1948-1969)","179"
"Nicolás Fontanilla","Gráf. Tirvia","1950","","Intimidad Prólogo de C. J. Cela","17"
"Gerardo Diego","Agora","1960","","Tántalo Versiones poéticas","19"
"Antonio Machado","El Mundo","1998","","Caminante","124"
"Gregorio San Juan","J. P. Vizcaya","1962","Dedicado","Arte menor","21"
"Rainer María Rilke","Plaza Janés","1967","Piel Bilingüe","Obras","302"
"Maquiavelo","Hiperion","1977","","Obras escabrosas","377"
"Jorge Guillén","El Mundo","1998","","Desnudo","211"
"Santiago Amón","Sever Cuesta","1959","Numerado","Tiempo de infancia y diez sonetos infantiles Nº 8","22"
"N.  Fdez. de Moratín","Siro S. A.","1977","","Arte de las putas","145"
"Manuel Pacheco","Zero, S.A.","1971","2ª ed.","Poesía en la tierra","212"
"Napoleón Caterinen Valero","Univ. México","1961","incompleto","La canción de tu ventana","213"
"José García Nieto","Palabra y tiempo","1963","","La hora undécima","26"
"Carducci","Cervantes","","","Las mejores poesías de los mejores poetas XI","71"
"Manuel Curros Enríquez","Aguilar","1956","","Obras escogidas","214"
"Luis de Góngora","C. Castalia","1968","","Sonetos Completos","32"
"Pedro Salinas","Losada","1954","2ª ed.","La voz a ti debida","37"
"Revista Trimestral Otoño 1987","G. A. Martín, S.A.","1987","Nº 2","Un ángel más","215"
"Antonio Gamoneda","Junta Cª y León","1986","","Descripción de la mentira","218"
"Revista Trimestral Invierno 1989","G. A. Martín, S.A.","1989","Nº 5","Un ángel más","216"
"Jorge Manrique","Más allá","1943","","Coplas a la muerte de su padre","68"
"Sidney Finkelstein","Arte y sociedad","1968","","Existencialismo y alienación en la lit. norteamericana","351"
"Sin autor","Santarén-Miñón","1949","","Poetas Líricos Vallisoletanos Siglos XIX y XX","1"
"Tzvetan Todorov","Monte Avila","1981","","Teorías del símbolo","366"
"Jenaro Vicario Ibán","Ceres","1974","Dedic. y nume.","Los caminos de la vida Ej. Nº 69","2"
"William Blake","Eds. Mediodía","1968","","El matrimonio del cielo y del infierno","367"
"Konstantino Kavafis","Hiperion","1976","","Poesías completas","376"
"C. R. de Velasco y J. Ferrán","Barral","1973","incompleto","Introducción a Ezra Pound","372"
"Enrique Azcoaga","Periplo","1953","","Panorama de la poesía moderna española","183"
"Antonio Jiménez-Laudi","Atlas","1944","Nº 99","Selección de poetas hispanoamericanos (C. Cisneros)","374"
"José Bergamín","Taurus","1959","","Fronteras infernales  de la poesía","184"
"Julio Caillet Bois","Aguilar","1958","Piel","Antología de la poesía hispanoamericana","364"
"Instituto Italiano de Cultura","Graf. Yagüe","1962","","Poesía y escultura de Miguel Angel","375"
"Francisco Pino","Sever Cuesta","1961","Numerado","San José Preludio Ejemplar nº 69","6"
"Pedro Lezcano","Sever Cuesta","1947","Numerado","Muriendo dos a dos Ejemplar nº 219","7"
"Salvador Pérez Valiente","Sever Cuesta","1947","Numerado","Cuando ya no hay remedio Ejemplar nº 423","8"
"Dámaso Alonso","Espasa Calpe","1958","2ª ed.","Hijos de la ira","16"
"José María Valverde","Rialp","1958","2ª ed.","Estudios sobre la palabra poética","189"
"Ildefonso Manuel Gil","Halcón","1947","Numerado","El corazón en los labios Ej. Nº 299","23"
"Juan Petit","Los libros de la F.","1981","2ª ed, Bilingüe","Poesías de Cátulo","237"
"Luis Felipe Vivanco","Guadarrama","1971","2ª ed.","Introduc. a la poesía española contemp. T 1 y 2","190"
"José Luis Cano","Afrod. Aguado","1950","","Sonetos de la bahía y otros poemas","86"
"José García Nieto","Afrod. Aguado","1951","","Primer Libro de Poemas","87"
"José García Nieto","Afrod. Aguado","1951","","Segundo Libro de Poemas","88"
"César Fdez. Moreno","F.C.E.","1962","","Introducción a la poesía","191"
"Guillermo Díaz Plaja","Barna, S. A.","1953","","Defensa de la crítica","194"
"Mario Angel Marrodán","Sever Cuesta","1950","Dedic. y nume.","Ansia de vida Ej. Nº 17","24"
"Selección  Tomás Salvador González","Junta Cª y León","1986","","Todos de etiqueta Antología de inéditos","217"
"J. M. Ibáñez Langlois","Rialp","1978","","Rilke, Pound, Neruda","313"
"Eduardo Fernández Portal","Sever Cuesta","1955","Numerado","Encendidas hogueras  Ej. Nº 24","25"
"Eduardo Carranza","Meridiano","1957","Numerado","El olvidado y la Alhambra","94"
"Alberto Ureta","Losada","1946","Intonso","Antología Poética","98"
"Gerardo Manrique de Lara","P. y Tiempo","1961","Intonso","Requiem","110"
"Jean Arthur Rimbaud","Assandri","1955","2ª ed.","Iluminaciones","322"
"R. Alvarez R. y R. L. Ortega","Junta Cª y L.","1986","Bilingüe","Poesía anglo-norteaméric. de la guerra civil española","269"
"Alvarez Ortega","P. y Tiempo","1962","Intonso","Dios de un día","111"
"Jacque Canales","Orígenes","1987","","Nietzsche también se rie","114"
"Mª  Dolores Sartorio Selecc.  y notas","Fomento I. de C","1959","","25 siglos de poesía amorosa","120"
"Miguel Angel García Brera","Quevedo","1969","","Pasión de la justicia","202"
"Vicente Gaos","Dip. Valencia","1982","Intonso","Obra completa poética I y II","125"
"Rainer María Rilke","Archipiélago","1946","","Cartas a Rodin","303"
"Colegio Español de Roma","Cº Esp. Roma","1954","","Estría nº 6","30"
"Miguel Hernández","Quetzal","1959","Intonso","Los hijos de la piedra","131"
"Luis J. Moreno","Junta Cª y León","1986","","324 Poemas breves (1965-1985)","219"
"Revista Hora de Poesía","Lentini","1978","","Hora de Poesía","137"
"Fray Luis de León","Libros Río Nuevo","1981","","Obra poética completa","140"
"Salvador  Espriú","Cátedra","1978","Bilingüe","Antología Lírica","170"
"José Hierro","Giner","1962","","Poesías Completas (1944-1962)","174"
"Rafael Alberti","Bajel","1942","Intonso","De un momento a otro y Cantata de los héroes","180"
"Carme Riera","Hesperus","1989","2ª ed. Numer.","Cartas de Abelardo y Heloísa","193"
"William Blake","Barral","1971","","Poemas proféticos y prosas","244"
"Octavio Paz","Barral","1972","2ª ed,","La centena Poemas 1935-1968","245"
"Emily Dickinson","Tusquets","1985","","Poemas","246"
"Vladimiro Maiacovski","Platina","1957","","Obras escogidas I y II Poesías líricas P. épicas","354"
"Félix Ros","Apolo","1939","","9 Poemas de Valery y doce sonetos de la  muerte","248"
"Arthurd Waley","Seix Barral","1969","","Vida y poesía de Li Po","257"
"Georges Pompidou","Hachete","1961","Francés","Anthologie de la poesie francaise","258"
"Edmundo Bianchi","Hachette","1944","","Antología de poetas franceses contemporáneos","276"
"Alberto Baeza Flores, Introd. y notas","Bruguera","1956","","Cuatro poetas cubanos","280"
"Blas de Otero","Losada","1960","","Angel fieramente humano. Redoble de conciencia","41"
"José Asunción Silva","Ntra. América","1957","Nº 3","Los mejores versos Cuadernillos de poesía","46"
"Rubén Darío","Ntra. América","1956","Nº 6","Los mejores versos Cuadernillos de poesía","47"
"José Santos Chocarro","Ntra. América","1957","Nº 8","Los mejores versos Cuadernillos de poesía","48"
"Federico García Lorca","Ntra. América","1956","Nº 11","Los mejores versos Cuadernillos de poesía","49"
"Amado Nervo","Ntra. América","1957","Nº 12","Los mejores versos Cuadernillos de poesía","50"
"Antonio Machado","Ntra. América","1957","Nº 13","Los mejores versos Cuadernillos de poesía","51"
"Francisco L. Bernárdez","Ntra. América","1956","Nº 15","Los mejores versos Cuadernillos de poesía","52"
"Eduardo Carranza","Ntra. América","1956","Nº 16","Los mejores versos Cuadernillos de poesía","53"
"Gabriela Mistral","Ntra. América","1957","Nº 17","Los mejores versos Cuadernillos de poesía","54"
"Juan Ramón Jiménez","Ntra. América","1957","Nº 20","Los mejores versos Cuadernillos de poesía","55"
"Alfonsina Storni","Ntra. América","1956","Nº 21","Los mejores versos Cuadernillos de poesía","56"
"Poesía ecuatoriana","Ntra. América","1956","Nº 24","Los mejores versos Cuadernillos de poesía","57"
"Meira Delmar","Ntra. América","1957","Nº 26","Los mejores versos Cuadernillos de poesía","58"
"César Vallejo","Ntra. América","1957","Nº 29","Los mejores versos Cuadernillos de poesía","59"
"Leopoldo Lugones","Ntra. América","1957","Nº 31","Los mejores versos Cuadernillos de poesía","60"
"A. Angel Montoya","Ntra. América","1957","Nº 32","Los mejores versos Cuadernillos de poesía","61"
"Antología","Ntra. América","1956","Nº 33","Los mejores versos de amor C. de poesía","62"
"Arthur Weigall","Schapire","1954","","Safo de Lesbos. Su vida y su época","294"
"Evaristo Carriego","Ntra. América","1957","Nº 35","Los mejores versos Cuadernillos de poesía","64"
"Guillermo Martínez","Ntra. América","1957","Nº 36","Los mejores versos Cuadernillos de poesía","65"
"De Rubén Darío a hoy","Ntra. América","1959","Nº 40","Los mejores versos Cuadernillos de poesía","66"
"Novalis","Cervantes","","","Las mejores poesías de los mejores poetas X","70"
"Balmont","Cervantes","","","Las mejores poesías de los mejores poetas XIV","72"
"MÖRIKE","Cervantes","","","Las mejores poesías de los mejores poetas XX","73"
"Nazariantz","Cervantes","","","Las mejores poesías de los mejores poetas XXIII","74"
"Antero de Quental","Cervantes","","","Las mejores poesías de los mejores poetas XXIX","75"
"Hölderlin","Cervantes","","","Las mejores poesías de los mejores poetas XXX","76"
"Salvador Albert","Cervantes","","","Las mejores poesías de los mejores poetas XXXVIII","77"
"Eugenio de Castro","Cervantes","","","Las mejores poesías de los mejores poetas XL","78"
"Guerra Junquiero","Cervantes","","","Las mejores poesías de los mejores poetas XLIV","79"
"DJELAL EDDIN RUMI","Cervantes","","","Las mejores poesías de los mejores poetas XLV","80"
